Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Emporia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
626037,  US,00058,     ,US 58,West Atlantic St,109,City of Emporia,040,Greensville County,0.41,WCL Emporia,Purdy Rd,12000,G,82%,1%,1%,1%,15%,1%,F,0.0730,F,0.5575,12000,G,2012,,,,,,,,,,,,,,,
626038,  US,00058,     ,US 58,West Atlantic St,109,City of Emporia,040,Greensville County,0.13,Purdy Rd,I-95,19000,G,82%,1%,1%,1%,15%,1%,F,0.0699,F,0.5567,19000,G,2012,,,,,,,,,,,,,,,
626001,  US,00058,     ,US 58, ,109,City of Emporia,040,Greensville County,0.92,I-95,US 301 Main St,15000,G,74%,1%,1%,1%,22%,1%,C,0.0820,F,0.5581,14000,G,2012,,,,,,,,,,,,,,,
626002,  US,00058,     ,US 58, ,109,City of Emporia,040,Greensville County,0.64,US 301 Main St,Reese St,13000,G,70%,1%,1%,1%,26%,1%,C,0.0754,F,0.5790,12000,G,2012,,,,,,,,,,,,,,,
626003,  US,00058,     ,US 58, ,109,City of Emporia,040,Greensville County,0.49,Reese St,Davis St,15000,G,86%,1%,1%,1%,12%,0%,F,0.0721,F,0.5161,14000,G,2012,,,,,,,,,,,,,,,
626004,  US,00058,     ,US 58, ,109,City of Emporia,040,Greensville County,0.65,Davis St,East Atlantic St,14000,G,86%,1%,1%,1%,12%,0%,F,0.0713,F,0.5101,14000,G,2012,,,,,,,,,,,,,,,
626005,  US,00058,     ,US 58, ,109,City of Emporia,040,Greensville County,0.40,East Atlantic St,ECL Emporia,15000,G,86%,1%,1%,1%,12%,0%,F,0.0692,F,0.5122,15000,G,2012,,,,,,,,,,,,,,,
789678,  US,00058,E410A,US 58 EB Exit 410A,Ramp,109,City of Emporia,040,Greensville County,0.18,US 58 I-95-S011B TO RT 95,I-95-S FROM RT 58,2400,G,,,,,,,X,0.0852,F,1.0000,2400,G,2012,,,,,,,,,,,,,,,
789679,  US,00058,E410B,US 58 EB Exit 410B,Ramp,109,City of Emporia,040,Greensville County,0.13,US 58 I-95-N011B TO AND FROM 95,I-95-N FROM RT 58,1300,G,,,,,,,X,0.1170,F,1.0000,1300,G,2012,,,,,,,,,,,,,,,
789680,  US,00058,W410A,US 58 WB Exit 410A,Ramp,109,City of Emporia,040,Greensville County,0.14,US 58 I-95-S011A TO AND FROM 95,I-95-S FROM RT 58,4400,G,,,,,,,X,0.0819,F,1.0000,4400,G,2012,,,,,,,,,,,,,,,
