Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Fairfax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
627020,  US,00029,     ,US 29,Lee Highway,151,City of Fairfax,151,City of Fairfax,0.16,WCL Fairfax,Jermantown Rd,40000,G,99%,0%,0%,0%,0%,0%,F,0.0789,F,0.6118,42000,G,2012,,,,,,,,,,,,,,,
627021,  US,00029,     ,US 29,Lee Highway,151,City of Fairfax,151,City of Fairfax,0.44,Jermantown Rd,US 50; SR 236 Main St,35000,G,99%,0%,0%,0%,0%,0%,F,0.0801,F,0.7048,38000,G,2012,,,,,,,,,,,,,,,
627022,  US,00029,     ,"US 29, US 50",Lee Highway,151,City of Fairfax,151,City of Fairfax,0.96,US 50; SR 236 Main St,SR 123 Chain Bridge Rd,38000,G,99%,0%,0%,0%,0%,0%,F,0.0705,F,0.6223,40000,G,2012,,,,,,,,,,,,,,,
627023,  US,00029,     ,"US 29, US 50",Lee Highway,151,City of Fairfax,151,City of Fairfax,0.21,SR 123 Chain Bridge Rd,University Dr,36000,G,99%,0%,0%,0%,0%,0%,F,0.0735,F,0.6155,38000,G,2012,,,,,,,,,,,,,,,
627024,  US,00029,     ,"US 29, US 50",Lee Highway,151,City of Fairfax,151,City of Fairfax,0.59,University Dr,Plantation Parkway,45000,G,99%,0%,0%,0%,0%,0%,F,0.0769,F,0.5941,48000,G,2012,,,,,,,,,,,,,,,
627025,  US,00029,     ,"US 29, US 50",Lee  Hwy,151,City of Fairfax,151,City of Fairfax,0.68,Plantation Parkway,Draper Drive,43000,G,99%,0%,0%,0%,0%,0%,F,0.0772,F,0.6483,46000,G,2012,,,,,,,,,,,,,,,
627026,  US,00029,     ,"US 29, US 50",Lee Highway,151,City of Fairfax,151,City of Fairfax,0.28,Draper Drive,US 50,40000,G,99%,0%,0%,0%,0%,0%,F,0.0799,F,0.6497,43000,G,2012,,,,,,,,,,,,,,,
627050,  US,00029,     ,US 29,Lee Highway,151,City of Fairfax,151,City of Fairfax,0.08,US 50,US 50 Fairfax Circle,40000,N,99%,0%,0%,0%,0%,0%,N,0.0799,N,0.6497,43000,N,2012,,,,,,,,,,,,,,,
627049,  US,00029,     ,"US 29, VA 237",Lee Highway,151,City of Fairfax,151,City of Fairfax,0.13,US 50 Fairfax Circle,ECL Fairfax,29000,N,97%,1%,1%,1%,1%,0%,N,0.0894,N,0.5082,32000,N,2012,,,,,,,,,,,,,,,
