Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Norton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
655230,  US,00023,     ,"US 23, Alt US 58, Alt US 58 Par", ,146,City of Norton,097,Wise County,1.03,WCL Norton,11Th St; 12th St Ext,15000,G,93%,0%,1%,0%,5%,0%,F,0.0883,N,0.5708,15000,G,2011,,,,,,,,,,,,,,,
665231,  US,00023,     ,"US 23, Alt US 58, Alt US 58 Par",Orby Cantrell Hwy,146,City of Norton,097,Wise County,1.50,11Th St; 12th St Ext,"ALT US 58, SR 283 Norton-Coeburn Hwy",15000,G,93%,0%,1%,0%,5%,0%,F,0.0884,F,0.6001,15000,G,2011,,,,,,,,,,,,,,,
665232,  US,00023,     ,US 23,Orby Cantrell Hwy,146,City of Norton,097,Wise County,0.74,"ALT US 58, SR 283 Norton-Coeburn Hwy",NCL Norton,21000,G,93%,0%,1%,0%,5%,0%,F,0.0893,F,0.5047,21000,G,2011,,,,,,,,,,,,,,,
010168,  US,00023,N043A,US 23 NB Exit 043A,"Ramp From US 23 (Overlap) to SR 283, Alt US 58",146,City of Norton,097,Wise County,0.21,US 23,US 23; Gap,15000,G,,,,,,,X,,,,,,2011,,,,,,,,,,,,,,,
655218,C4US,00023,     ,Bus US 23,Park Ave,146,City of Norton,146,City of Norton,0.59,SCL Norton,15th Street,5700,G,95%,0%,1%,1%,3%,0%,F,0.1034,F,0.6705,6000,G,2011,,,,,,,,,,,,,,,
655204,C4US,00023,     ,Bus US 23,Park Ave,146,City of Norton,146,City of Norton,0.56,15th Street,11th St,10000,G,95%,0%,1%,1%,3%,0%,F,0.0902,F,0.6124,11000,G,2011,,,,,,,,,,,,,,,
655206,C4US,00023,     ,Bus US 23,Park Ave,146,City of Norton,146,City of Norton,0.33,11th St,8th St,9600,G,95%,0%,1%,1%,3%,0%,F,0.0898,F,0.5068,10000,G,2011,,,,,,,,,,,,,,,
655207,C4US,00023,     ,Bus US 23,Park Ave,146,City of Norton,146,City of Norton,0.34,8th St,SR 74 Coeburn Rd,11000,G,95%,0%,1%,1%,3%,0%,F,0.0875,F,0.5316,11000,G,2011,,,,,,,,,,,,,,,
655209,C4US,00023,     ,Bus US 23,Park Ave,146,City of Norton,146,City of Norton,0.26,SR 74 Coeburn Rd,"BUS US 23, SR 283; Park Ave",13000,G,95%,0%,1%,1%,3%,0%,F,0.0881,F,0.5049,14000,G,2011,,,,,,,,,,,,,,,
