Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Buena Vista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
612219,  US,00060,     ,US 60,Lexington Ave,103,City of Buena Vista,103,City of Buena Vista,0.08,WCL Buena Vista,Alleghany Ave,11000,G,94%,0%,1%,1%,4%,0%,F,0.0937,F,0.5014,11000,G,2011,,,,,,,,,,,,,,,
612211,  US,00060,     ,US 60,Lexington Ave,103,City of Buena Vista,103,City of Buena Vista,0.53,Alleghany Ave,Beech Ave,10000,G,94%,0%,1%,1%,4%,0%,C,0.0957,F,0.5005,11000,G,2011,,,,,,,,,,,,,,,
612212,  US,00060,     ,US 60,29th St,103,City of Buena Vista,103,City of Buena Vista,1.31,Beech Ave,ECL Buena Vista,4600,G,92%,0%,1%,2%,5%,0%,C,0.1109,F,0.5305,4900,G,2011,,,,,,,,,,,,,,,
612220,  US,00501,     ,US 501,Magnolia Ave,103,City of Buena Vista,103,City of Buena Vista,0.97,SCL Buena Vista,2nd St,3600,G,92%,1%,1%,2%,4%,0%,C,0.0995,F,0.6182,3900,G,2011,,,,,,,,,,,,,,,
612204,  US,00501,     ,US 501,Magnolia Ave,103,City of Buena Vista,103,City of Buena Vista,1.09,2nd St,15th St,7400,G,96%,0%,1%,1%,2%,0%,C,0.1009,F,0.5176,7900,G,2011,,,,,,,,,,,,,,,
612217,  US,00501,     ,US 501,Magnolia Ave,103,City of Buena Vista,103,City of Buena Vista,0.71,15th St,25th St,3300,G,99%,1%,1%,0%,0%,0%,C,0.1118,F,0.5648,3500,G,2011,,,,,,,,,,,,,,,
612208,  US,00501,     ,US 501,Park Ave,103,City of Buena Vista,103,City of Buena Vista,0.28,25th St,Beech Ave,4000,G,99%,0%,0%,0%,0%,0%,C,0.0963,F,0.6078,4300,G,2011,,,,,,,,,,,,,,,
612210,  US,00501,     ,US 501,Beech Ave,103,City of Buena Vista,103,City of Buena Vista,0.12,Park Ave,29th St,11000,G,95%,1%,1%,1%,3%,0%,C,0.0960,F,0.5289,12000,G,2011,,,,,,,,,,,,,,,
612207,A2US,00501,     ,Alt US 501,Beech Ave,103,City of Buena Vista,103,City of Buena Vista,0.37,Park Ave,22nd St,7500,G,95%,1%,1%,1%,3%,0%,C,0.0916,F,0.5267,8000,G,2011,,,,,,,,,,,,,,,
612216,A2US,00501,     ,Alt US 501,Sycamore Ave,103,City of Buena Vista,103,City of Buena Vista,0.38,22nd St,18th St,6300,G,95%,0%,1%,1%,3%,0%,C,0.0903,F,0.5337,6800,G,2011,,,,,,,,,,,,,,,
