Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Charlottesville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
613608,  SR,00020,     ,VA 20,Monticello Ave,104,City of Charlottesville,104,City of Charlottesville,0.26,SCL Charlottesville,Altavista Ave,15000,G,98%,0%,1%,0%,1%,0%,F,0.0989,F,0.7171,16000,G,2011,,,,,,,,,,,,,,,
613257,  SR,00020,     ,VA 20,Monticello Ave,104,City of Charlottesville,104,City of Charlottesville,0.28,Altavista Ave,Meridian Ave,14000,G,98%,0%,1%,0%,1%,0%,F,0.0977,F,0.6399,15000,G,2011,,,,,,,,,,,,,,,
613254,  SR,00020,     ,VA 20,Monticello Ave,104,City of Charlottesville,104,City of Charlottesville,0.35,Meridian Ave,Avon St,9200,G,98%,0%,1%,0%,1%,0%,C,0.0993,F,0.6250,9900,G,2011,,,,,,,,,,,,,,,
613252,  SR,00020,     ,VA 20,Avon St,104,City of Charlottesville,104,City of Charlottesville,0.41,Monticello Ave,Market Street,15000,G,98%,0%,1%,0%,1%,0%,F,0.0945,F,0.6118,15000,G,2011,,,,,,,,,,,,,,,
613240,  SR,00020,     ,"VA 20, Bus US 250",9th St,104,City of Charlottesville,104,City of Charlottesville,0.12,Market St,US 250 High St,14000,G,98%,0%,1%,0%,1%,0%,F,0.0880,F,0.6068,15000,G,2011,,,,,,,,,,,,,,,
613241,  SR,00020,     ,"Bus US 250, VA 20",High St,104,City of Charlottesville,104,City of Charlottesville,0.23,US 250 High St,11th ST,11000,G,99%,0%,0%,0%,0%,0%,F,0.0880,F,0.5809,11000,G,2011,,,,,,,,,,,,,,,
613242,  SR,00020,     ,"Bus US 250, VA 20",High St,104,City of Charlottesville,104,City of Charlottesville,0.21,11th ST,Gillespie Ave,10000,G,99%,0%,0%,0%,0%,0%,C,0.0878,F,0.6234,11000,G,2011,,,,,,,,,,,,,,,
613243,  SR,00020,     ,"Bus US 250, VA 20",High St,104,City of Charlottesville,104,City of Charlottesville,0.45,Gillespie Ave,US 250 & BUS US 250,20000,G,99%,0%,0%,0%,0%,0%,F,0.0851,F,0.5891,21000,G,2011,,,,,,,,,,,,,,,
613238,  SR,00020,     ,"US 250, VA 20",Long St,104,City of Charlottesville,104,City of Charlottesville,0.06,US 250 & BUS US 250,ECL Charlottesville,38000,N,98%,0%,1%,0%,0%,0%,N,0.0811,N,0.5061,42000,N,2011,,,,,,,,,,,,,,,
