Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
658136,  US,00001,     ,"US 1, Bus US 460",Washington St,123,City of Petersburg,123,City of Petersburg,0.40,WCL Petersburg,Summit St,13000,F,98%,0%,1%,1%,1%,0%,F,0.0950,F,0.0000,13000,F,2011,,,,,,,,,,,,,,,
658137,  US,00001,     ,"US 1, Bus US 460",Washington St,123,City of Petersburg,123,City of Petersburg,0.18,Summit St,Elm St,13000,F,98%,0%,1%,1%,1%,0%,F,0.0955,F,0.0000,14000,F,2011,,,,,,,,,,,,,,,
658139,  US,00001,     ,"US 1, Bus US 460",Washington St,123,City of Petersburg,123,City of Petersburg,0.57,Elm St,US 1 Par; Wythe St,14000,F,97%,1%,1%,1%,1%,0%,F,0.0933,F,0.0000,15000,F,2011,,,,,,,,,,,,,,,
658143,  US,00001,     ,"US 1, Bus US 460",Wythe St,123,City of Petersburg,123,City of Petersburg,1.08,"US 1 Par, Washington St; Battersea Lane",Perry St,7400,F,97%,1%,1%,1%,1%,0%,C,0.0908,F,0.0000,7800,F,2011,,16000,F,97%,1%,1%,1%,1%,0%,F,0.0900,F,0.0000,17000,F
658144,  US,00001,     ,"US 1, Bus US 460",Wythe St,123,City of Petersburg,123,City of Petersburg,0.15,Perry St,SR 36 Market St,8800,F,97%,1%,1%,1%,1%,0%,F,0.0986,F,0.0000,9300,F,2011,,18000,F,97%,1%,1%,1%,1%,0%,F,,,,19000,F
658145,  US,00001,     ,"US 1, Bus US 460, VA 36",Wythe St,123,City of Petersburg,123,City of Petersburg,0.20,SR 36 Market St,ALT US 301 Sycamore St,9300,F,97%,1%,1%,1%,1%,0%,F,0.0913,F,0.0000,9900,F,2011,,,,,,,,,,,,,,,
658051,  US,00001,     ,"US 1, Alt US 301, Bus US 460, VA 36",Wythe St,123,City of Petersburg,123,City of Petersburg,0.20,ALT US 301 Sycamore St,Bus US 460 Jefferson St,13000,F,97%,1%,1%,1%,1%,0%,F,0.0879,F,0.0000,13000,F,2011,,28000,F,97%,1%,1%,1%,1%,0%,F,,,,29000,F
658081,  US,00001,     ,"US 1, Alt US 301",Jefferson St,123,City of Petersburg,123,City of Petersburg,0.09,Bus US 460 Wythe St,"Bus US 460 Par, Washington St",3100,F,97%,1%,1%,1%,1%,0%,F,0.1286,F,0.0000,3300,F,2011,,,,,,,,,,,,,,,
